DATE,GDPC1
2002-01-01,13394.91
2002-04-01,13477.356
2002-07-01,13531.741
2002-10-01,13549.421
2003-01-01,13619.434
2003-04-01,13741.107
2003-07-01,13970.157
2003-10-01,14131.379
2004-01-01,14212.34
2004-04-01,14323.017
2004-07-01,14457.832
2004-10-01,14605.595
2005-01-01,14767.846
2005-04-01,14839.707
2005-07-01,14956.291
2005-10-01,15041.232
2006-01-01,15244.088
2006-04-01,15281.525
2006-07-01,15304.517
2006-10-01,15433.643
2007-01-01,15478.956
2007-04-01,15577.779
2007-07-01,15671.605
2007-10-01,15767.146
2008-01-01,15702.906
2008-04-01,15792.773
2008-07-01,15709.562
2008-10-01,15366.607
2009-01-01,15187.475
2009-04-01,15161.772
2009-07-01,15216.647
2009-10-01,15379.155
2010-01-01,15456.059
2010-04-01,15605.628
2010-07-01,15726.282
2010-10-01,15807.995
2011-01-01,15769.911
2011-04-01,15876.839
2011-07-01,15870.684
2011-10-01,16048.702
2012-01-01,16179.968
2012-04-01,16253.726
2012-07-01,16282.151
2012-10-01,16300.035
2013-01-01,16441.485
2013-04-01,16464.402
2013-07-01,16594.743
2013-10-01,16712.76
2014-01-01,16654.247
2014-04-01,16868.109
2014-07-01,17064.616
2014-10-01,17141.235
2015-01-01,17280.647
2015-04-01,17380.875
2015-07-01,17437.08
2015-10-01,17462.579
2016-01-01,17565.465
2016-04-01,17618.581
2016-07-01,17724.489
2016-10-01,17812.56
2017-01-01,17896.623
2017-04-01,17996.802
2017-07-01,18126.226
2017-10-01,18296.685
2018-01-01,18436.262
2018-04-01,18590.004
2018-07-01,18679.599
2018-10-01,18721.281
2019-01-01,18833.195
2019-04-01,18982.528
2019-07-01,19112.653
2019-10-01,19202.31
2020-01-01,18951.992
2020-04-01,17258.205
2020-07-01,18560.774
2020-10-01,18767.778
2021-01-01,19055.655
2021-04-01,19368.31
2021-07-01,19478.893
2021-10-01,19806.29
2022-01-01,19735.895
